1	1       2	13	1       1
2	2	2       14	1       1
3	3	2       15	1       1
4	4	2       16	1       1
5	5	2       17	1       1
6	28	1       16	2       2
7	29	1       17	2       2
8	30	1       18	2       2
9	31	1       19	2       2
10	32	1       20	2       2
11	31	2       43	1       1
12	32	2       44	1       1
13	33	2       45	1       1
14	34	2       46	1       1
15	35	2       47	1       1
16	58	1       46	2       2
17	59	1       47	2       2
18	60	1       48	2       2
19	1	1       49	2       2
20	2	1       50	2       2


1	18	1       6	2       1
2	19	1       7	2       1
3	20	1       8	2       1
4	21	1       9	2       1
5	22	1       10	2       1
6	21	2       33	1       2
7	22	2       34	1       2
8	23	2       35	1       2
9	24	2       36	1       2
10	25	2       37	1       2
11	48	1       36	2       1
12	49	1       37	2       1
13	50	1       38	2       1
14	51	1       39	2       1
15	52	1       40	2       1
16	51	2       3	1       2
17	52	2       4	1       2
18	53	2       5	1       2
19	54	2       6	1       2
20	55	2       7	1       2


1	11	2       23	1       1
2	12	2       24	1       1
3	13	2       25	1       1
4	14	2       26	1       1
5	15	2       27	1       1
6	38	1       26	2       2
7	39	1       27	2       2
8	40	1       28	2       2
9	41	1       29	2       2
10	42	1       30	2       2
11	41	2       53	1       1
12	42	2       54	1       1
13	43	2       55	1       1
14	44	2       56	1       1
15	45	2       57	1       1
16	8	1       56	2       2
17	9	1       57	2       2
18	10	1       58	2       2
19	11	1       59	2       2
20	12	1       60	2       2
